Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),Bharatiya Janata Party(BJP),BISHNU PADA RAY,102436,24396
2,Andhra Pradesh,Amalapuram (SC)(7),Telugu Desam - TDP,G M HARISH (BALAYOGI),796981,342196
3,Andhra Pradesh,Anakapalle(5),Bharatiya Janata Party(BJP),C.M.RAMESH,762069,296530
4,Andhra Pradesh,Ananthapur(19),Telugu Desam - TDP,AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
5,Andhra Pradesh,Araku (ST)(1),Yuvajana Sramika Rythu Congress Party - YSRCP,GUMMA THANUJA RANI,477005,50580
6,Andhra Pradesh,Bapatla (SC)(15),Telugu Desam - TDP,KRISHNA PRASAD TENNETI,717493,208031
7,Andhra Pradesh,Chittoor(SC)(25),Telugu Desam - TDP,DAGGUMALLA PRASADA RAO,778071,220479
8,Andhra Pradesh,Eluru(10),Telugu Desam - TDP,PUTTA MAHESH KUMAR,746351,181857
9,Andhra Pradesh,Guntur(13),Telugu Desam - TDP,DR CHANDRA SEKHAR PEMMASANI,864948,344695
10,Andhra Pradesh,Hindupur(20),Telugu Desam - TDP,B K PARTHASARATHI,725534,132427
11,Andhra Pradesh,Kadapa(21),Yuvajana Sramika Rythu Congress Party - YSRCP,Y. S. AVINASH REDDY,605143,62695
12,Andhra Pradesh,Kakinada(6),janasena,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
13,Andhra Pradesh,Kurnoolu(18),Telugu Desam - TDP,BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
14,Andhra Pradesh,Machilipatnam(11),janasena,BALASHOWRY VALLABHANENI,724439,223179
15,Andhra Pradesh,Nandyal(17),Telugu Desam - TDP,DR BYREDDY SHABARI,701131,111975
16,Andhra Pradesh,Narsapuram(9),Bharatiya Janata Party(BJP),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
17,Andhra Pradesh,Narsaraopet(14),Telugu Desam - TDP,LAVU SRIKRISHNA DEVARAYALU,807996,159729
18,Andhra Pradesh,Nellore(22),Telugu Desam - TDP,PRABHAKAR REDDY VEMIREDDY,766202,245902
19,Andhra Pradesh,Ongole(16),Telugu Desam - TDP,MAGUNTA SREENIVASULU REDDY,701894,50199
20,Andhra Pradesh,Rajahmundry(8),Bharatiya Janata Party(BJP),DAGGUBATI PURANDHESHWARI,726515,239139
21,Andhra Pradesh,Rajampet(24),Yuvajana Sramika Rythu Congress Party - YSRCP,P V MIDHUN REDDY,644844,76071
22,Andhra Pradesh,Srikakulam(2),Telugu Desam - TDP,KINJARAPU RAMMOHAN NAIDU,754328,327901
23,Andhra Pradesh,Thirupathi(SC)(23),Yuvajana Sramika Rythu Congress Party - YSRCP,GURUMOORTHY MADDILA,632228,14569
24,Andhra Pradesh,Vijayawada(12),Telugu Desam - TDP,KESINENI SIVANATH (CHINNI),794154,282085
25,Andhra Pradesh,Visakhapatnam(4),Telugu Desam - TDP,SRIBHARAT MATHUKUMILI,907467,504247
26,Andhra Pradesh,Vizianagaram(3),Telugu Desam - TDP,APPALANAIDU KALISETTI,743113,249351
27,Arunachal Pradesh,Arunachal East(2),Bharatiya Janata Party(BJP),TAPIR GAO,145581,30421
28,Arunachal Pradesh,Arunachal West(1),Bharatiya Janata Party(BJP),KIREN RIJIJU,205417,100738
29,Assam,Barpeta(3),Asom Gana Parishad (AGP),PHANI BHUSAN CHOUDHURY,860113,222351
30,Assam,Darrang-Udalguri(4),Bharatiya Janata Party(BJP),DILIP SAIKIA,868387,329012
31,Assam,Dhubri (2),Indian National Congress (INC),RAKIBUL HUSSAIN,1471885,1012476
32,Assam,Dibrugarh(13),Bharatiya Janata Party(BJP),SARBANANDA SONOWAL,693762,279321
33,Assam,Diphu(6),Bharatiya Janata Party(BJP),AMARSING TISSO,334620,147603
34,Assam,Guwahati(5),Bharatiya Janata Party(BJP),BIJULI KALITA MEDHI,894887,251090
35,Assam,Jorhat(14),Indian National Congress (INC),GAURAV GOGOI,751771,144393
36,Assam,Karimganj(7),Bharatiya Janata Party(BJP),KRIPANATH MALLAH,545093,18360
37,Assam,Kaziranga(10),Bharatiya Janata Party(BJP),KAMAKHYA PRASAD TASA,897043,248947
38,Assam,Kokrajhar (1),"United People’s Party, Liberal - UPPL",JOYANTA BASUMATARY,488995,51583
39,Assam,Lakhimpur(12),Bharatiya Janata Party(BJP),PRADAN BARUAH,663122,201257
40,Assam,Nagaon(9),Indian National Congress (INC),PRADYUT BORDOLOI,788850,212231
41,Assam,Silchar (8),Bharatiya Janata Party(BJP),PARIMAL SUKLABAIDYA,652405,264311
42,Assam,Sonitpur(11),Bharatiya Janata Party(BJP),RANJIT DUTTA,775788,361408
43,Bihar,Araria(9),Bharatiya Janata Party(BJP),PRADEEP KUMAR SINGH,600146,20094
44,Bihar,Arrah(32),Communist Party of India (Marxist-Leninist) (Liberation) - CPI(ML)(L),SUDAMA PRASAD,529382,59808
45,Bihar,Aurangabad(37),rjd,ABHAY KUMAR SINHA,465567,79111
46,Bihar,Banka(27),Janata Dal United(JDU,GIRIDHARI YADAV,506678,103844
47,Bihar,Begusarai(24),Bharatiya Janata Party(BJP),GIRIRAJ SINGH,649331,81480
48,Bihar,Bhagalpur(26),Janata Dal United(JDU,AJAY KUMAR MANDAL,536031,104868
49,Bihar,Buxar(33),rjd,SUDHAKAR SINGH,438345,30091
50,Bihar,Darbhanga(14),Bharatiya Janata Party(BJP),GOPAL JEE THAKUR,566630,178156
51,Bihar,Gaya(38),Hindustani Awam Morcha (Secular) - HAMS,JITAN RAM MANJHI,494960,101812
52,Bihar,Godda(3),Bharatiya Janata Party(BJP),NISHIKANT DUBEY,693140,101813
53,Bihar,Gopalganj(17),Janata Dal United(JDU,DR. ALOK KUMAR SUMAN,511866,127180
54,Bihar,Hajipur(21),Lok Janshakti Party(Ram Vilas) - LJPRV,CHIRAG PASWAN,615718,170105
55,Bihar,Jahanabad(36),rjd,SURENDRA PRASAD YADAV,443035,142591
56,Bihar,Jamui(40),Lok Janshakti Party(Ram Vilas) - LJPRV,ARUN BHARTI,509046,112482
57,Bihar,Jhanjharpur(7),Janata Dal United(JDU,RAMPRIT MANDAL,533032,184169
58,Bihar,Karakat(35),Communist Party of India (Marxist-Leninist) (Liberation) - CPI(ML)(L),RAJA RAM SINGH,380581,105858
59,Bihar,Katihar(11),Indian National Congress (INC),TARIQ ANWAR,567092,49863
60,Bihar,Khagaria(25),Lok Janshakti Party(Ram Vilas) - LJPRV,RAJESH VERMA,538657,161131
61,Bihar,Kishanganj(10),Indian National Congress (INC),MOHAMMAD JAWED,402850,59692
62,Bihar,Madhepura(13),Janata Dal United(JDU,DINESH CHANDRA YADAV,640649,174534
63,Bihar,Madhubani(6),Bharatiya Janata Party(BJP),ASHOK KUMAR YADAV,553428,151945
64,Bihar,Maharajganj(19),Bharatiya Janata Party(BJP),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
65,Bihar,Munger(28),Janata Dal United(JDU,RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870
66,Bihar,Nalanda(29),Janata Dal United(JDU,KAUSHALENDRA KUMAR,559422,169114
67,Bihar,Nawada(39),Bharatiya Janata Party(BJP),VIVEK THAKUR,410608,67670
68,Bihar,Paschim Champaran(2),Bharatiya Janata Party(BJP),DR.SANJAY JAISWAL,580421,136568
69,Bihar,Patliputra(31),rjd,MISHA BHARTI,613283,85174
70,Bihar,Patna Sahib(30),Bharatiya Janata Party(BJP),RAVI SHANKAR PRASAD,588270,153846
71,Bihar,Purnia(12),Independent - IND,RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
72,Bihar,Purvi Champaran(3),Bharatiya Janata Party(BJP),RADHA MOHAN SINGH,542193,88287
73,Bihar,Samastipur(23),Lok Janshakti Party(Ram Vilas) - LJPRV,SHAMBHAVI,579786,187251
74,Bihar,Saran(20),Bharatiya Janata Party(BJP),RAJIV PRATAP RUDY,471752,13661
75,Bihar,Sasaram(34),Indian National Congress (INC),MANOJ KUMAR,513004,19157
76,Bihar,Sheohar(4),Janata Dal United(JDU,LOVELY ANAND,476612,29143
77,Bihar,Sitamarhi(5),Janata Dal United(JDU,DEVESH CHANDRA THAKUR,515719,51356
78,Bihar,Siwan(18),Janata Dal United(JDU,VIJAYLAKSHMI DEVI,386508,92857
79,Bihar,Supaul(8),Janata Dal United(JDU,DILESHWAR KAMAIT,595038,169803
80,Bihar,Ujiarpur(22),Bharatiya Janata Party(BJP),NITYANAND RAI,515965,60102
81,Bihar,Vaishali(16),Lok Janshakti Party(Ram Vilas) - LJPRV,VEENA DEVI,567043,89634
